Store Number,City,State/Province,Country,Longitude,Latitude
47370-257954,Andorra la Vella,7,AD,1.53,42.51
22331-212325,Ajman,AJ,AE,55.47,25.42
47089-256771,Ajman,AJ,AE,55.47,25.39
22126-218024,Abu Dhabi,AZ,AE,54.38,24.48
17127-178586,Abu Dhabi,AZ,AE,54.54,24.51
17688-182164,Abu Dhabi,AZ,AE,54.49,24.4
18182-182165,Abu Dhabi,AZ,AE,54.49,24.4
23359-229184,Abu Dhabi,AZ,AE,54.61,24.46
30781-99022,Abu Dhabi,AZ,AE,55.69,24.19
20423-205465,Abu Dhabi,AZ,AE,54.38,24.48
20424-205466,Abu Dhabi,AZ,AE,54.34,24.47
1579-122101,Abu Dhabi,AZ,AE,54.37,24.49
32595-122105,Abu Dhabi,AZ,AE,55.69,24.19
24191-236428,Abu Dhabi,AZ,AE,54.7,24.3
24604-238367,Abu Dhabi,AZ,AE,54.6,24.48
32029-110804,Abu Dhabi,AZ,AE,55.74,24.21
29560-238539,Abu Dhabi,AZ,AE,54.34,24.47
32239-100001,Abu Dhabi,AZ,AE,54.35,24.47
31719-103601,Abu Dhabi,AZ,AE,54.37,24.47
20008-200004,Abu Dhabi,AZ,AE,54.38,24.48
32767-131566,Abu Dhabi,AZ,AE,54.51,24.42
3886-141408,Abu Dhabi,AZ,AE,54.35,24.46
29539-254261,Abu Dhabi,AZ,AE,54.66,24.41
28809-251348,Abu Dhabi,AZ,AE,54.41,24.5
34262-62540,Abu Dhabi,AZ,AE,54.32,24.47
3178-141407,Abu Dhabi,AZ,AE,54.57,24.35
34260-17877,Abu Dhabi,AZ,AE,55.62,24.21
21605-213406,Abu Dhabi,AZ,AE,54.44,24.54
1935-141406,Abu Dhabi,AZ,AE,54.34,24.47
20113-195784,Abu Dhabi,AZ,AE,54.94,24.9
34227-33225,Abu Dhabi,AZ,AE,54.37,24.5
17361-180588,Abu Dhabi,AZ,AE,54.6,24.4
15938-165686,Abu Dhabi,AZ,AE,55.77,24.48
16453-170544,Abu Dhabi,AZ,AE,54.44,24.43
24085-235545,Abu Dhabi,AZ,AE,54.61,24.46
24932-239347,Abu Dhabi,AZ,AE,54.39,24.46
18469-188844,Abu Dhabi,AZ,AE,54.39,24.43
28810-251346,Abu Dhabi,AZ,AE,54.66,24.41
1897-120044,Abu Dhabi,AZ,AE,55.53,23.85
20772-207664,Abu Dhabi,AZ,AE,54.37,24.47
2176-143834,Abu Dhabi,AZ,AE,54.37,24.52
18530-169885,Abu Dhabi,AZ,AE,54.37,24.48
24931-239348,Abu Dhabi,AZ,AE,54.37,24.47
29306-253248,Al Ain,AZ,AE,55.4,24.12
17291-169884,Al Ain,AZ,AE,55.29,25.24
32640-131563,Al Ain,AZ,AE,55.65,24.19
34332-97778,Al Ain,AZ,AE,55.73,24.24
16257-166109,Al Ain,AZ,AE,55.39,25.1
1926-141411,Al Ain,AZ,AE,55.81,24.16
24510-238164,Al Ain,AZ,AE,55.69,24.21
17788-183965,Al Ain,AZ,AE,55.8,24.13
22963-226644,Abu Dhabi,DU,AE,54.47,24.41
23197-228761,Abu Dhabi,DU,AE,54.63,24.29
23549-231166,Abu Dhabi,DU,AE,54.69,24.39
15060-156348,Al Barsha,DU,AE,55.23,25.05
34291-80114,Dubai,DU,AE,55.23,25.17
27072-246650,Dubai,DU,AE,55.6,24.78
18751-188904,Dubai,DU,AE,55.35,25.25
18857-187024,Dubai,DU,AE,55.31,25.27
28908-251804,Dubai,DU,AE,55.16,25.1
32250-107405,Dubai,DU,AE,55.27,25.19
34211-17922,Dubai,DU,AE,55.28,25.21
34315-87671,Dubai,DU,AE,55.15,25.08
23213-228760,Dubai,DU,AE,55.35,25.25
30780-154130,Dubai,DU,AE,55.2,25.12
25406-240945,Dubai,DU,AE,55.4,25.23
32329-111864,Dubai,DU,AE,55.28,25.19
32741-141410,Dubai,DU,AE,55.12,25.13
17787-183964,Dubai,DU,AE,55.14,25.08
3183-143827,Dubai,DU,AE,55.24,25.17
32571-107873,Dubai,DU,AE,55.13,25.07
23973-234507,Dubai,DU,AE,55.31,25.27
32144-123448,Dubai,DU,AE,55.28,25.19
34219-17920,Dubai,DU,AE,55.32,25.27
32476-106835,Dubai,DU,AE,55.13,25.07
7073-204444,Dubai,DU,AE,55.12,25.13
18026-187444,Dubai,DU,AE,55.23,25.19
34284-65720,Dubai,DU,AE,55.25,25.22
32117-116426,Dubai,DU,AE,55.17,25.1
20347-204885,Dubai,DU,AE,55.31,25.27
49595-270099,Dubai,DU,AE,55.33,25.26
32292-111724,Dubai,DU,AE,55.27,25.2
4141-147544,Dubai,DU,AE,55.24,25.05
21600-213424,Dubai,DU,AE,55.35,25.27
47514-254743,Dubai,DU,AE,55.19,25.11
26471-239345,Dubai,DU,AE,55.19,25.03
25879-242844,Dubai,DU,AE,55.42,25.23
6137-116711,Dubai,DU,AE,55.24,25.2
3173-122109,Dubai,DU,AE,55.46,25.26
23212-228759,Dubai,DU,AE,55.35,25.25
34335-97976,Dubai,DU,AE,55.12,25.04
1801-136467,Dubai,DU,AE,55.28,25.2
31199-104340,Dubai,DU,AE,55.33,25.25
31853-109684,Dubai,DU,AE,55,24.92
28811-251347,Dubai,DU,AE,55.28,25.24
6106-148051,Dubai,DU,AE,55.42,25.13
34317-95971,Dubai,DU,AE,55.19,25.13
32269-114734,Dubai,DU,AE,55.28,25.21
34337-97975,Dubai,DU,AE,55.12,25.05
4143-147546,Dubai,DU,AE,55.41,25.22
30954-99024,Dubai,DU,AE,55.33,25.23
1609-136468,Dubai,DU,AE,55.28,25.2
34249-62099,Dubai,DU,AE,55.28,25.25
23863-233552,Dubai,DU,AE,55.44,25.04
31338-103600,Dubai,DU,AE,55.43,25.23
34209-17918,Dubai,DU,AE,55.33,25.25
34210-16835,Dubai,DU,AE,55.26,25.23
28258-250593,Dubai,DU,AE,55.27,25.23
32523-106836,Dubai,DU,AE,55.13,25.07
24927-239346,Dubai,DU,AE,55.31,25.27
32328-123449,Dubai,DU,AE,55.28,25.22
34292-76574,Dubai,DU,AE,55.09,24.99
26743-245288,Dubai,DU,AE,55.2,25.12
26048-243344,Dubai,DU,AE,55.2,25.12
32714-122107,Dubai,DU,AE,55.31,25.23
1968-136466,Dubai,DU,AE,55.14,25.08
27950-248318,Dubai,DU,AE,55.31,25.27
32425-106837,Dubai,DU,AE,55.14,25.08
32457-106838,Dubai,DU,AE,55.14,25.08
48097-261445,Dubai,DU,AE,55.16,25.11
1577-123446,Dubai,DU,AE,55.35,25.25
3169-123447,Dubai,DU,AE,55.35,25.25
34336-97974,Dubai,DU,AE,55.12,25.04
48522-263630,Dubai,DU,AE,55,24.54
24139-236004,Dubai,DU,AE,55.27,25.2
34320-74020,Dubai,DU,AE,55.3,25.25
15976-165685,Dubai,DU,AE,55.21,25.1
16528-168726,Dubai,DU,AE,55.4,25.13
22125-218025,Dubai,DU,AE,55.38,25.11
18837-193244,Dubai,DU,AE,55.33,25.29
31002-101076,Dubai,DU,AE,55.17,25.05
34346-97779,Dubai,DU,AE,55.16,25.1
48396-262946,Dubai,DU,AE,55.16,25.11
17045-172945,Fujairah,FU,AE,56.3,25.13
28071-249840,Fujairah,FU,AE,56.33,25.12
1911-138604,Ras Al Khaimah,RK,AE,55.78,25.68
34228-219605,Ras Al Khaimah,RK,AE,55.97,25.79
3172-113584,Ras Al Khaimah,RK,AE,55.92,25.75
17964-183966,Sharjah,SH,AE,55.39,25.35
34252-54259,Sharjah,SH,AE,55.4,25.35
34253-62541,Sharjah,SH,AE,55.38,25.33
1359-138434,Sharjah,SH,AE,55.38,25.32
34259-54260,Sharjah,SH,AE,55.37,25.3
34217-27108,Sharjah,SH,AE,55.48,25.3
22697-223524,Umm Al Quwain,UQ,AE,55.54,25.53
1278-139526,Avellaneda,B,AR,-58.37,-34.68
16436-159304,Boulogne,B,AR,-57.87,-34.88
47294-254164,Buenos Aires,B,AR,-58.44,-34.58
25823-198067,Buenos Aires,B,AR,-58.7,-34.53
15008-157047,Buenos Aires,B,AR,-58.51,-34.47
26540-219150,Buenos Aires,B,AR,-58.5,-34.49
47751-259030,Caba,B,AR,-58.4,-34.59
47750-259026,Caba,B,AR,-58.38,-34.6
16898-173464,Ezeiza,B,AR,-58.53,-34.8
8091-151284,Martinez,B,AR,-58.49,-34.48
1271-136936,Martinez,B,AR,-58.52,-34.51
8895-151508,Moron,B,AR,-58.65,-34.63
15006-157046,Pilar,B,AR,-58.92,-34.45
15219-158845,Pilar,B,AR,-60.22,-33.39
47724-230145,Pilar,B,AR,-58.86,-34.46
15474-156010,Quilmes,B,AR,-58.26,-34.72
16786-175824,San Isidro,B,AR,-58.55,-34.49
16444-169428,San Justo,B,AR,-58.56,-34.69
3632-142527,Tigre,B,AR,-58.66,-34.4
3628-142530,Tortuguitas,B,AR,-58.73,-34.45
15478-161685,Vicente Lopez,B,AR,-58.47,-34.53
26464-238685,Buenos Aires,C,AR,-58.41,-34.6
7123-150606,Buenos Aires,C,AR,-58.44,-34.57
26539-230148,Buenos Aires,C,AR,-58.4,-34.6
25324-219149,Buenos Aires,C,AR,-58.44,-34.58
13054-156007,Buenos Aires,C,AR,-58.47,-34.55
15654-164107,Buenos Aires,C,AR,-58.46,-34.56
15329-160024,Buenos Aires,C,AR,-58.39,-34.6
26461-232984,Buenos Aires,C,AR,-58.38,-34.6
16744-173424,Buenos Aires,C,AR,-58.42,-34.57
26535-240364,Buenos Aires,C,AR,-58.37,-34.61
47283-246923,Buenos Aires,C,AR,-58.46,-34.56
1290-142064,Buenos Aires,C,AR,-58.43,-34.59
49438-156016,Buenos Aires,C,AR,-58.42,-34.57
9126-151506,Buenos Aires,C,AR,-58.38,-34.59
20313-198064,Buenos Aires,C,AR,-58.43,-34.58
16600-173444,Buenos Aires,C,AR,-58.38,-34.61
1270-136935,Buenos Aires,C,AR,-58.44,-34.57
16743-175224,Buenos Aires,C,AR,-58.39,-34.6
1282-139530,Buenos Aires,C,AR,-58.38,-34.6
1273-137353,Buenos Aires,C,AR,-58.36,-34.61
3525-142748,Buenos Aires,C,AR,-58.49,-34.55
1284-140707,Buenos Aires,C,AR,-58.46,-34.57
17802-185946,Buenos Aires,C,AR,-58.37,-34.6
26459-238684,Buenos Aires,C,AR,-58.38,-34.6
32499-133544,Buenos Aires,C,AR,-58.41,-34.59
1277-139525,Buenos Aires,C,AR,-58.39,-34.6
9199-152184,Buenos Aires,C,AR,-58.4,-34.58
3803-153444,Buenos Aires,C,AR,-58.36,-34.6
29536-246926,Buenos Aires,C,AR,-58.45,-34.56
16370-170264,Buenos Aires,C,AR,-58.38,-34.61
1281-139529,Buenos Aires,C,AR,-58.37,-34.6
19948-198065,Buenos Aires,C,AR,-58.38,-34.61
15142-156008,Buenos Aires,C,AR,-58.37,-34.61
24877-228684,Buenos Aires,C,AR,-58.39,-34.59
19944-202505,Buenos Aires,C,AR,-58.38,-34.62
15005-157045,Buenos Aires,C,AR,-58.43,-34.62
6177-149892,Buenos Aires,C,AR,-58.43,-34.62
16479-169427,Buenos Aires,C,AR,-58.39,-34.6
15509-158844,Buenos Aires,C,AR,-58.43,-34.58
17243-180104,Buenos Aires,C,AR,-58.52,-34.61
7027-149890,Buenos Aires,C,AR,-58.41,-34.58
24640-221027,Buenos Aires,C,AR,-58.47,-34.54
1279-139527,Buenos Aires,C,AR,-58.41,-34.6
15653-164104,Buenos Aires,C,AR,-58.39,-34.6
26538-230144,Buenos Aires,C,AR,-58.37,-34.6
20619-198066,Buenos Aires,C,AR,-58.37,-34.6
7152-150785,Buenos Aires,C,AR,-58.38,-34.62
15098-156012,Buenos Aires,C,AR,-58.57,-34.64
15459-161686,Buenos Aires,C,AR,-58.37,-34.62
15059-157325,Buenos Aires,C,AR,-58.41,-34.59
1285-140708,Buenos Aires,C,AR,-58.37,-34.61
15058-157324,Buenos Aires,C,AR,-58.4,-34.58
16237-169426,Buenos Aires,C,AR,-58.39,-34.59
8177-151507,Buenos Aires,C,AR,-58.37,-34.6
3629-142529,Buenos Aires,C,AR,-58.41,-34.58
23695-219147,Buenos Aires,C,AR,-58.38,-34.6
16690-174425,Buenos Aires,C,AR,-58.44,-34.57
24076-221025,Buenos Aires,C,AR,-58.4,-34.6
15672-164105,Buenos Aires,C,AR,-58.37,-34.61
3633-142525,Buenos Aires,C,AR,-58.46,-34.54
25325-232985,Buenos Aires,C,AR,-58.41,-34.59
19945-198044,Buenos Aires,C,AR,-58.41,-34.6
15458-161684,Buenos Aires,C,AR,-58.48,-34.58
3554-153291,Buenos Aires,C,AR,-58.4,-34.59
15150-156011,Buenos Aires,C,AR,-58.4,-34.77
4034-136938,Buenos Aires,C,AR,-58.49,-34.55
8090-154364,Buenos Aires,C,AR,-58.38,-34.6
24876-231226,Buenos Aires,C,AR,-58.44,-34.6
26472-239830,Buenos Aires,C,AR,-58.39,-34.6
9125-149965,Buenos Aires,C,AR,-58.44,-34.57
21445-212345,Caba,C,AR,-58.44,-34.62
20331-204904,Caba,C,AR,-58.45,-34.55
21525-212344,Caba,C,AR,-58.37,-34.6
47742-259028,Mendoza,M,AR,-68.84,-32.89
47803-259029,Mendoza,M,AR,-68.84,-32.88
17240-171905,Mendoza,M,AR,-68.78,-32.9
47752-259027,Mendoza,M,AR,-68.84,-32.89
17241-171904,Mendoza,M,AR,-68.83,-32.92
15673-163045,Rosario,S,AR,-60.65,-32.94
15651-163044,Rosario,S,AR,-60.67,-32.93
47305-254784,Santa Fe,S,AR,-60.7,-32.96
47235-248696,Cordoba,X,AR,-64.31,-31.32
47289-254786,Cordoba,X,AR,-64.2,-31.44
16161-168806,Cordoba,X,AR,-64.19,-31.41
22131-168807,Cordoba,X,AR,-64.24,-31.36
16290-163049,Cordoba,X,AR,-64.2,-31.41
16302-163050,Cordoba,X,AR,-64.2,-31.44
21998-216824,Vosendorf,3,AT,16.32,48.11
19939-196684,Salzburg,5,AT,13.01,47.82
21799-140452,Salzburg,5,AT,13.04,47.8
19767-199325,Salzburg,5,AT,13.05,47.81
25921-242984,Schwechat,9,AT,16.56,48.13
40206-77760,Wien,9,AT,16.35,48.2
40202-69420,Wien,9,AT,16.39,48.24
23739-161864,Wien,9,AT,16.38,48.18
15134-158024,Wien,9,AT,16.37,48.21
40213-99693,Wien,9,AT,16.37,48.21
40212-96779,Wien,9,AT,16.35,48.22
40204-76700,Wien,9,AT,16.36,48.2
31077-103980,Wien,9,AT,16.38,48.21
32495-133884,Wien,9,AT,16.39,48.21
13074-150484,Wien,9,AT,16.43,48.24
19247-200084,Wien,9,AT,16.34,48.2
17786-183845,Wien,9,AT,16.36,48.21
32492-120288,Wien,9,AT,16.37,48.2
49778-271255,Manly,NSW,AU,151.29,-33.8
25291-240407,Mt Druitt,NSW,AU,150.82,-33.77
48100-261428,Parramatta,NSW,AU,151,-33.82
25277-240391,Sydney,NSW,AU,151.21,-33.88
25290-240408,Sydney,NSW,AU,151.21,-33.87
25296-240405,Sydney,NSW,AU,151.21,-33.87
25276-240390,Sydney,NSW,AU,151.21,-33.87
25279-240396,Sydney,NSW,AU,151.21,-33.88
25299-240395,Westmead,NSW,AU,150.99,-33.8
25282-240406,Brisbane,QLD,AU,153.03,-27.47
25278-240393,Brisbane,QLD,AU,153.02,-27.47
25288-240410,Broadbeach,QLD,AU,153.43,-28.03
25287-240411,Chermside,QLD,AU,153.03,-27.39
25292-240421,Gold Coast,QLD,AU,153.43,-28.01
25285-240413,Surfers Paradise,QLD,AU,153.43,-28.02
24303-236999,Upper Mt Gravatt,QLD,AU,153.09,-27.54
25295-240418,Wooloongabba,QLD,AU,153.03,-27.5
25294-240419,Melbourne,VIC,AU,144.97,-37.81
25293-240420,Melbourne,VIC,AU,144.97,-37.82
25286-240412,Melbourne,VIC,AU,144.95,-37.82
25283-240416,Melbourne,VIC,AU,144.97,-37.81
49790-270953,Melbourne,VIC,AU,144.96,-37.81
15476-160864,Noord,AW,AW,-70.04,12.57
3635-146029,Oranjestad,AW,AW,-70.04,12.52
3634-146030,Oranjestad,AW,AW,-70.04,12.52
28752-250830,Baku,BA,AZ,49.85,40.38
25822-240094,Baku,BA,AZ,49.86,40.38
28135-250266,Narimonov,BA,AZ,49.85,40.4
29399-253484,Baku,SAB,AZ,48.9,39.95
48462-260556,Brussels,BE,BE,4.38,50.84
26401-240667,Brussels,BE,BE,4.35,50.83
26399-240668,Brussels,BE,BE,4.33,50.83
48459-260557,Brussels,BE,BE,4.41,50.84
18497-185504,Antwerp,VAN,BE,4.4,51.22
20374-205052,Brussels,VBR,BE,4.36,50.84
18478-186824,Brussels,VBR,BE,4.36,50.85
6104-148664,Antwerp,VLG,BE,4.42,51.22
17990-180284,Brugges,VLG,BE,3.19,51.27
15272-158067,Brussels,VLG,BE,4.36,50.85
17299-177127,Gent,VLG,BE,3.72,51.04
15759-164604,Gent,VLG,BE,3.72,51.05
20894-198024,Leuven,VLG,BE,4.71,50.88
17489-177128,Schaerbeek,VLG,BE,4.36,50.86
32639-137287,Zaventem,VLG,BE,4.49,50.9
1338-245953,Zaventem,VLG,BE,4.48,50.87
6030-137290,Zaventem,VLG,BE,4.48,50.9
28830-248724,Liege,WAL,BE,5.57,50.63
19372-201645,Namur,WAL,BE,4.86,50.47
1460-137881,Burgas,2,BG,25.62,42.42
1459-137880,Sofia,23,BG,23.43,42.64
22556-222345,Sofia,23,BG,23.32,42.66
1603-141846,Sofia,23,BG,23.32,42.7
1370-137876,Sofia,23,BG,23.32,42.69
47088-256773,Bahrain,13,BH,50.52,26.21
21603-213405,Manama,13,BH,50.59,26.23
17255-179926,Manama,13,BH,50.6,26.2
17189-179925,Manama,13,BH,50.58,26.22
15439-161444,Manama,13,BH,50.57,26.21
47377-258065,Manama,13,BH,50.55,26.22
26955-246149,Manama,13,BH,50.59,26.23
21148-209545,Manama,13,BH,50.6,26.22
34324-95973,البحرين,13,BH,50.61,26.21
34234-33223,البحرين,13,BH,50.54,26.23
34286-79020,الزينج,13,BH,50.58,26.21
1349-112145,المنامة,13,BH,50.59,26.24
32717-122090,المنامة,13,BH,50.55,26.23
34218-27369,المنامة,13,BH,50.54,26.23
34345-98401,المنامة,13,BH,50.58,26.24
32716-134986,المنامة,13,BH,50.55,26.23
18359-188905,Al Riffa,14,BH,50.58,26.22
34302-86720,سند,14,BH,50.58,26.14
23604-225764,Manama,15,BH,50.57,26.23
1582-122086,Muharraq,15,BH,50.61,26.25
3639-145205,المنامة,15,BH,50.63,26.27
26078-242484,Brunei,BE,BN,114.4,4.3
22537-220404,Bandar Seri Begawan,BM,BN,114.94,4.91
22537-221644,Bandar Seri Begawan,BM,BN,114.94,4.91
24922-223884,Brunei Muara District,BM,BN,115,5
25025-239325,Mukim Kilanas,TU,BN,114.73,4.77
24171-224044,Santa Cruz,S,BO,-63.19,-17.75
27289-247144,Santa Cruz,S,BO,-63.18,-17.8
26388-239190,Santa Cruz,S,BO,-63.18,-17.75
24172-224045,Santa Cruz,S,BO,-63.2,-17.75
16178-168205,Niteroi,RJ,BR,-43.11,-22.9
15158-240092,Niteroi,RJ,BR,-43.12,-22.9
24246-236684,Niteroi,RJ,BR,-43.12,-22.9
16680-172329,Rio de Janeiro,RJ,BR,-43.23,-22.98
25120-238328,Rio de Janeiro,RJ,BR,-43.25,-22.81
24957-239367,Rio de Janeiro,RJ,BR,-43.18,-22.9
17029-178774,Rio de Janeiro,RJ,BR,-43.2,-22.98
26236-238690,Rio de Janeiro,RJ,BR,-43.22,-22.98
1616-129745,Rio de Janeiro,RJ,BR,-43.18,-22.96
15077-144229,Rio de Janeiro,RJ,BR,-43.18,-22.95
17622-182367,Rio de Janeiro,RJ,BR,-43.24,-22.92
27154-153758,Rio de Janeiro,RJ,BR,-43.36,-23
17032-178778,Rio de Janeiro,RJ,BR,-43.28,-22.89
21347-211845,Rio de Janeiro,RJ,BR,-43.27,-22.88
16262-168204,Rio de Janeiro,RJ,BR,-43.18,-22.9
17575-183485,Rio de Janeiro,RJ,BR,-43.18,-22.91
23181-228184,Rio de Janeiro,RJ,BR,-43.18,-22.9
16511-172333,Rio de Janeiro,RJ,BR,-43.18,-22.94
16512-172326,Rio de Janeiro,RJ,BR,-43.36,-22.98
1597-144232,Rio de Janeiro,RJ,BR,-43.32,-23
19039-198109,Rio de Janeiro,RJ,BR,-43.19,-22.98
15072-205624,Rio de Janeiro,RJ,BR,-43.22,-22.98
21722-214113,Rio de Janeiro,RJ,BR,-43.36,-23
20361-204804,Atrium Térreo,SP,BR,-46.63,-23.62
1620-137556,Barueri,SP,BR,-46.83,-23.5
23537-230924,Bauru,SP,BR,-49.05,-22.34
15073-141445,Campinas,SP,BR,-47.06,-22.85
22630-222405,Campinas,SP,BR,-47.08,-22.93
22049-217325,Campinas,SP,BR,-47.14,-23.01
22050-217324,Campinas,SP,BR,-47.15,-23.01
15075-132765,Campinas,SP,BR,-47.05,-22.9
15088-132764,Campinas,SP,BR,-47.03,-22.89
16820-172334,Campinas,SP,BR,-47.02,-22.86
21346-210669,Guarulhos,SP,BR,-46.49,-23.43
21404-212164,Guarulhos,SP,BR,-46.49,-23.43
22074-252023,Guarulhos,SP,BR,-46.48,-23.43
21240-209666,Guarulhos,SP,BR,-46.55,-23.49
23069-227505,Guarulhos,SP,BR,-46.54,-23.44
21349-210668,Guarulhos,SP,BR,-46.48,-23.43
22886-225568,Piracicaba,SP,BR,-47.65,-22.7
20462-205664,Ribeirao Preto,SP,BR,-47.87,-21.18
21496-211625,Ribeirao Preto,SP,BR,-47.82,-21.21
19113-196825,Ribeirao Preto,SP,BR,-47.81,-21.21
16179-165745,Santo Andre,SP,BR,-46.53,-23.67
23697-232164,Santos,SP,BR,-46.31,-23.98
18892-196485,Sao Bernardo do Campo,SP,BR,-46.54,-23.73
21501-211525,Sao Bernardo do Campo,SP,BR,-46.55,-23.69
16270-153754,Sao Caetano,SP,BR,-46.58,-23.63
19116-198104,Sao Jose do Campos,SP,BR,-45.89,-23.19
19036-198105,Sao Jose do Campos,SP,BR,-45.88,-23.2
19154-196844,Sao Jose do Rio Preto,SP,BR,-49.4,-20.84
22625-221985,Sao Jose do Rio Preto,SP,BR,-49.39,-20.84
22787-224488,Sao Jose dos Campos,SP,BR,-45.89,-23.22
24812-236264,Sao Paulo,SP,BR,-46.64,-23.57
24953-238607,Sao Paulo,SP,BR,-46.66,-23.63
15083-119364,Sao Paulo,SP,BR,-46.66,-23.56
25258-218466,Sao Paulo,SP,BR,-46.65,-23.56
16828-174131,Sao Paulo,SP,BR,-46.67,-23.61
26526-244252,Sao Paulo,SP,BR,-46.64,-23.6
13018-155344,Sao Paulo,SP,BR,-46.66,-23.56
17030-178614,Sao Paulo,SP,BR,-46.58,-23.54
17076-174965,Sao Paulo,SP,BR,-46.6,-23.48
22747-223964,Sao Paulo,SP,BR,-46.66,-23.56
16732-171265,Sao Paulo,SP,BR,-46.69,-23.6
15076-137360,Sao Paulo,SP,BR,-46.62,-23.52
23535-230929,Sao Paulo,SP,BR,-46.65,-23.57
15087-119368,Sao Paulo,SP,BR,-46.68,-23.53
15071-139724,Sao Paulo,SP,BR,-46.72,-23.55
17760-185965,Sao Paulo,SP,BR,-46.71,-23.51
18850-196006,Sao Paulo,SP,BR,-46.58,-23.54
20182-203439,Sao Paulo,SP,BR,-46.64,-23.57
21972-216324,Sao Paulo,SP,BR,-46.65,-23.55
18328-189824,Sao Paulo,SP,BR,-46.89,-23.2
15089-138507,Sao Paulo,SP,BR,-46.64,-23.57
24299-237048,Sao Paulo,SP,BR,-46.47,-23.54
15290-159665,Sao Paulo,SP,BR,-46.61,-23.55
16693-174504,Sao Paulo,SP,BR,-46.66,-23.56
15080-108726,Sao Paulo,SP,BR,-46.66,-23.54
15090-129744,Sao Paulo,SP,BR,-46.68,-23.58
25212-239906,Sao Paulo,SP,BR,-46.7,-23.61
22198-218465,Sao Paulo,SP,BR,-46.72,-23.51
15074-141446,Sao Paulo,SP,BR,-46.56,-23.56
15070-138325,Sao Paulo,SP,BR,-46.66,-23.6
18152-188284,Sao Paulo,SP,BR,-46.65,-23.57
15084-119365,Sao Paulo,SP,BR,-46.65,-23.57
18059-187909,Sao Paulo,SP,BR,-46.7,-23.62
15068-127148,Sao Paulo,SP,BR,-46.65,-23.57
25013-239489,Sao Paulo,SP,BR,-46.64,-23.55
15085-119387,Sao Paulo,SP,BR,-46.67,-23.61
23771-231944,Sao Paulo,SP,BR,-46.7,-23.68
15078-106618,Sao Paulo,SP,BR,-46.7,-23.62
21604-212986,Sao Paulo,SP,BR,-46.65,-23.55
17190-179664,Sao Paulo,SP,BR,-46.7,-23.62
19143-199070,Sao Paulo,SP,BR,-46.69,-23.59
15069-134020,Sao Paulo,SP,BR,-46.72,-23.59
17660-184304,Sao Paulo,SP,BR,-46.66,-23.56
20467-188924,Sao Paulo,SP,BR,-46.69,-23.59
17023-178613,Sao Paulo,SP,BR,-46.59,-23.58
16703-159666,Sao Paulo,SP,BR,-46.68,-23.6
15079-107036,Sao Paulo,SP,BR,-46.7,-23.62
18060-187907,Sao Paulo,SP,BR,-46.68,-23.58
20363-203440,Sorocaba,SP,BR,-47.46,-23.53
20487-206084,Nassau,BI,BS,-77.45,25.03
19786-203064,Nassau,NS,BS,-77.47,25.07
32202-107597,Nassau,NS,BS,-77.33,25.09
31197-102257,Nassau,NS,BS,-77.33,25.07
30707-155784,Nassau,NS,BS,-77.34,25.08
32120-148724,Nassau,NS,BS,-77.39,25.07
13053-153764,Nassau,NS,BS,-77.46,25.06
18101-187804,Nassau,NS,BS,-77.32,25.09
30656-99475,Nassau,NS,BS,-77.32,25.08
31288-104391,Nassau,NS,BS,-77.32,25.07
19451-192064,Airdrie,AB,CA,-113.99,51.27
4808-103498,Airdrie,AB,CA,-114,51.27
4937-124045,Airdrie,AB,CA,-114.01,51.29
74745-97386,Airdrie,AB,CA,-114.01,51.3
4997-137066,Airdrie,AB,CA,-114.01,51.3
49107-265792,Airdrie,AB,CA,-113.99,51.27
4457-85801,Banff,AB,CA,-115.57,51.18
79618-113148,Banff,AB,CA,-115.57,51.18
5013-146204,Banff,AB,CA,-115.56,51.15
16143-152236,Beaumont,AB,CA,-113.42,53.36
74983-102402,Brooks,AB,CA,-111.9,50.57
18193-180784,Calgary,AB,CA,-114.06,51.05
4773-103661,Calgary,AB,CA,-114.07,51.04
28225-250192,Calgary,AB,CA,-114.07,51.05
75131-65123,Calgary,AB,CA,-114.07,51.05
17369-170484,Calgary,AB,CA,-114.08,51.05
4971-131631,Calgary,AB,CA,-114.04,51.04
79606-106108,Calgary,AB,CA,-114.12,51.09
47125-238038,Calgary,AB,CA,-114.01,51.13
70335-136373,Calgary,AB,CA,-114.07,50.97
4908-116204,Calgary,AB,CA,-114.07,51.12
74996-104506,Calgary,AB,CA,-114.07,51.1
4308-1512,Calgary,AB,CA,-114,50.95
4381-16457,Calgary,AB,CA,-114.13,51.09
28550-250189,Calgary,AB,CA,-114.07,51
4549-94631,Calgary,AB,CA,-114.25,51.12
74678-97415,Calgary,AB,CA,-114.07,50.91
22864-223124,Calgary,AB,CA,-114.07,51.05
4751-104207,Calgary,AB,CA,-114.16,51.16
28650-250208,Calgary,AB,CA,-113.98,51.07
16668-165944,Calgary,AB,CA,-114.03,50.93
15406-157545,Calgary,AB,CA,-114.01,51.13
5188-138106,Calgary,AB,CA,-113.96,50.93
74984-102932,Calgary,AB,CA,-114.08,51.04
16359-159646,Calgary,AB,CA,-114.06,51.05
25262-240370,Calgary,AB,CA,-114.08,51.05
21081-207145,Calgary,AB,CA,-114.06,51.05
18180-143144,Calgary,AB,CA,-114.07,50.88
4836-106373,Calgary,AB,CA,-114.21,51.06
4513-93211,Calgary,AB,CA,-114.07,51.05
79713-123485,Calgary,AB,CA,-113.95,51.12
