magnitude,state,country,longitude,latitude,year
4.2,,Pakistan,73.8226,34.8833,2017
4.5,,Russia,108.6036,53.4138,2017
2.7,AK,US,-179.8045,51.0097,2017
4.2,,Chile,-70.616,-33.9245,2017
4.2,,south of the Fiji Islands,179.9853,-23.4818,2017
4.6,,China,86.2733,43.8508,2017
2.2,AK,US,-153.0435,59.4196,2017
4.4,,New Zealand,173.6237,-42.4461,2017
5.3,,south of the Fiji Islands,179.2614,-23.2769,2017
4.9,,Solomon Islands,155.2866,-9.4856,2017
2.9,,Puerto Rico,-65.6039,17.8715,2017
4.1,,Chile,-70.2777,-21.3066,2017
2.5,AK,US,-167.6907,53.5063,2017
2.1,CA,US,-118.2055,34.029,2017
3.2,AK,US,-150.4513,63.9977,2017
4.1,,Fiji region,-177.6455,-19.5018,2017
4.4,,New Zealand,177.5692,-38.9294,2017
4.7,,Vanuatu,169.761,-20.6508,2017
3.6,CA,US,-118.9285,38.3889,2017
5.9,,Peru,-76.3675,-4.895,2017
6.3,,south of the Fiji Islands,179.2383,-23.2513,2017
2.6,AK,US,-150.3234,60.7627,2017
2.2,AK,US,-152.8615,59.5704,2017
4.4,,Greece,21.9099,36.2225,2017
2.13,CA,US,-115.5541667,32.9685,2017
3.2,,Puerto Rico,-67.7945,18.1963,2017
4.2,,Argentina,-67.4347,-24.2806,2017
4.5,,Indonesia,98.9469,1.9044,2017
2.15,CA,US,-115.5548333,32.9741667,2017
4.6,,Vanuatu,167.5491,-16.1181,2017
2.5,AK,US,-150.3426,60.7668,2017
2.02,CA,US,-115.5531667,32.9708333,2017
2.09,HI,US,-155.3508333,19.0746667,2017
2.49,HI,US,-155.3501667,19.0741667,2017
4.5,,south of the Fiji Islands,179.9715,-25.4887,2017
3.3,OK,US,-96.8859,36.3968,2017
3.4,OK,US,-96.8858,36.3961,2017
2.4,NV,US,-118.9248,38.3869,2017
4.7,,Reykjanes Ridge,-35.3232,53.3783,2017
4.4,,Reykjanes Ridge,-35.2237,53.1647,2017
4.6,,Japan,142.8242,38.8698,2017
4.3,,Fiji region,-177.7684,-19.0785,2017
4.8,,Reykjanes Ridge,-35.2675,53.3196,2017
3.5,AK,US,-161.5873,54.4486,2017
4.1,,Afghanistan,70.7431,36.4405,2017
2.7,OK,US,-96.8742,36.1258,2017
4.2,,Philippines,123.4297,12.5972,2017
4.2,,Philippines,127.5221,4.498,2017
4.2,,Indonesia,126.7721,2.2814,2017
2.9,NV,US,-118.9035,38.3908,2017
2.46,CA,US,-115.5541667,32.9663333,2017
2.88,CA,US,-118.5086667,37.4111667,2017
4.2,,Indonesia,127.0419,2.446,2017
4.5,,Japan,136.4244,34.0275,2017
3.8,,Northern Mariana Islands,145.4995,18.791,2017
4.6,,Papua New Guinea,153.7582,-4.7819,2017
4.6,,Indonesia,123.2248,-7.8644,2017
2.6,NV,US,-118.9237,38.4035,2017
2.5,,Aleutian Islands,178.8036,51.4676,2017
3.5,OK,US,-96.9186,36.4199,2017
4.7,,Tonga,-175.7307,-19.4818,2017
2.71,,B.C.,-115.9188333,31.8995,2017
2.17,CA,US,-115.5523333,32.9696667,2017
2.5,AK,US,-163.8843,53.8641,2017
5.2,,Indonesia,108.7974,-8.7459,2017
2.6,AK,US,-177.776,51.5679,2017
4.5,,Japan,142.0005,41.2084,2017
4.4,,Fiji region,-179.6007,-21.4229,2017
4.3,,Palau,128.943,3.908,2017
3.3,,U.S. Virgin Islands,-64.302,19.0184,2017
4.2,,Indonesia,123.19,0.0068,2017
2.67,CA,US,-117.7841667,36.0235,2017
2.5,,Canada,-71.9347,46.6975,2017
4.3,,Vanuatu,170.9043,-21.4596,2017
2.9,ID,US,-111.6255,42.6644,2017
2.26,CA,US,-122.5751667,38.917,2017
4.5,,Reykjanes Ridge,-35.2125,52.9345,2017
3.2,OR,US,-126.4755,41.7504,2017
2.1,OK,US,-97.4457,35.8303,2017
4.7,,Indonesia,106.7646,-8.2134,2017
4,,Vanuatu,169.3449,-18.9992,2017
2.7,,Canada,-66.2224,45.8584,2017
4.8,,Indonesia,139.3172,-3.5702,2017
4.8,,Japan,131.1366,30.5247,2017
2.4,CA,US,-119.858,36.1636667,2017
2.2,AK,US,-151.0001,61.2978,2017
4.5,,Indonesia,139.4192,-3.3528,2017
2.2,AK,US,-164.7084,53.7749,2017
2.8,AK,US,-169.8082,52.1074,2017
2.2,AK,US,-164.5102,53.5575,2017
4.1,,Mexico,-92.9664,14.5203,2017
4.4,,Solomon Islands,161.8001,-10.7403,2017
3.9,AK,US,-166.6474,53.646,2017
2.1,AK,US,-166.6872,53.5614,2017
4.4,,Indonesia,128.9211,3.7373,2017
4.6,,Solomon Islands,161.4209,-10.6227,2017
2.5,OK,US,-97.4675,35.7813,2017
5.7,,India,92.0177,24.0151,2017
2.9,,Puerto Rico,-66.5924,19.096,2017
4,,Indonesia,128.7796,3.6239,2017
2.5,AZ,US,-111.8919,35.1572,2017
4.5,,Japan region,141.7744,31.709,2017
2.7,AK,US,-141.264,64.7505,2017
2.8,,Puerto Rico,-67.5179,18.287,2017
5.1,,Papua New Guinea,148.0029,-8.2507,2017
4.7,,South Sandwich Islands region,-30.6043,-55.412,2017
4.2,,Chile,-71.1109,-24.4115,2017
4.4,,Japan,142.5158,38.6079,2017
4.3,,Tonga,-177.9085,-21.139,2017
3.9,,Northern Mariana Islands,144.6419,14.7892,2017
4.5,,Brazil,-43.966,-3.3533,2017
5.2,,Chile,-70.4091,-19.9071,2017
2.2,AK,US,-156.8765,61.4945,2017
4.7,,Indonesia,106.8098,-8.1091,2017
3,,U.S. Virgin Islands,-64.8152,19.153,2017
4.5,,Kyrgyzstan,72.3446,39.2661,2017
4.2,,Indonesia,128.1255,2.9987,2017
2.8,,U.S. Virgin Islands,-64.7697,18.916,2017
2.6,,Puerto Rico,-67.2939,18.771,2017
4.8,,southeast of the Loyalty Islands,172.4563,-21.481,2017
2.8,,U.S. Virgin Islands,-64.823,18.9402,2017
4.5,,Australia,118.455,-30.609,2017
4.6,,Fiji region,-178.3125,-20.1088,2017
2.41,,B.C.,-116.2221667,31.8771667,2017
4.5,,Timor Leste,128.0146,-7.5458,2017
4.4,,Afghanistan,69.4841,36.6919,2017
4.1,,Balleny Islands region,164.1367,-62.2768,2017
4.6,,west of Macquarie Island,147.5104,-57.2954,2017
4.6,,Wallis and Futuna,-178.7921,-15.0773,2017
4.6,,Fiji region,-177.4269,-19.1011,2017
2.5,OK,US,-97.8208,35.9674,2017
4.3,,Tonga,-177.5681,-22.2882,2017
4.9,,Kermadec Islands region,-175.4357,-28.1292,2017
4.3,,Chile,-72.4387,-34.152,2017
5.1,,Myanmar,94.5035,23.3168,2017
2.5,AK,US,-164.0078,53.1109,2017
2.4,AK,US,-169.1805,52.7426,2017
5,,south of the Fiji Islands,179.2307,-23.2527,2017
4.4,,India,93.8486,27.9089,2017
4.5,,Philippines,125.8083,3.8627,2017
2.8,AK,US,-157.5071,55.8547,2017
2.8,,Puerto Rico,-65.2265,18.7497,2017
3.6,AK,US,-169.9488,52.3422,2017
4.3,,Chile,-72.1905,-30.3126,2017
4.3,,Timor Leste,125.5885,-7.0969,2017
